id,title,body,category,priority
32,Cliente lamenta problemi con il nostro servizio,"Un cliente ha menzionato di aver avuto qualche difficoltà con il nostro portale online. Non ha fatto un reclamo formale, lo riporto per conoscenza. Confidiamo in una risposta rapida per procedere con l'ordine. Nessuna premura, è una richiesta informativa. Ringrazio per la collaborazione.",Commerciale,bassa
33,Informazioni tecniche su servizi cloud per il fornitore Bianchi,"Per completare il nostro catalogo interno, avrei bisogno delle schede tecniche aggiornate di licenze software. Non ci sono richieste attive da parte dei clienti. Ho già verificato sul piattaforma documentale ma le informazioni sono incomplete. Resto in attesa di aggiornamenti.",Commerciale,bassa
34,Errore contabile nel gestionale,Il gestionale calcola importi errati nei calcoli.,Tecnico,media
35,Errore busta paga marzo,"Il cedolino di gennaio mostra una trattenuta anomala di 1.320,50 euro che non riconosco. L'importo netto accreditato è significativamente inferiore al dovuto e ho bisogno di chiarimenti immediati perché devo far fronte a pagamenti già programmati. La questione è legata a obblighi normativi in scadenza. Rimango in attesa, grz.",Amministrazione,alta
36,Cancellazione ordine #FT-3392 su richiesta,il cliente principale sta valutando se confermare o annullare l'ordine #PED-8821. Per ora è solo un'ipotesi. Vorrei sapere quali sarebbero le condizioni di annullamento nel caso. Il reparto direzione è in copia per conoscenza. Vi ringrazio anticipatamente.,Commerciale,bassa
37,Posta in arrivo non aggiornata,Le email non arrivano su Outlook da stamattina. Ho verificato dal telefono e ci sono messaggi urgenti da GreenTech S.p.A. e dal reparto risorse umane che necessitano risposta entro oggi. Ho già provato a cambiare browser. Ringrazio per la collaborazione.,Tecnico,alta
38,Sistema lento,"Il piattaforma intranet è molto lento oggi. Urgente, il lavoro è completamente fermo.",Amministrazione,alta
39,Impossibile stampare su la multifunzione del piano,"La Canon iR stampa solo parzialmente i documenti, tagliando la parte destra di ogni foglio. I contratti risultano illeggibili. Per ora invio i documenti via email ma non è sempre possibile. Sta peggiorando, meglio intervenire presto. Se servono dettagli aggiuntivi, sono reperibile via email.",Tecnico,media
40,Segnalazione di il cliente principale su disservizio,"Rossi S.r.l. ci ha contattato per lamentare rallentamenti nell'accesso al portale ordini. Il rapporto è buono ma conviene dare un riscontro per mantenere la fiducia. Ho già verificato sul gestionale SAP ma le informazioni sono incomplete. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Grazie in anticipo per il riscontro.",Commerciale,media
41,Segnalazione,Segnalo un problema con il client VPN.,Amministrazione,alta
42,Il portale non accetta nuovi ordini,Il sistema di ticketing restituisce 'Memoria insufficiente' quando si tenta di inserire un nuovo ordine. Il problema riguarda tutti gli operatori del reparto e nessun ordine può essere processato da stamattina. I clienti stanno già chiamando. Il reparto vendite ha segnalato lo stesso problema. Resto in attesa di aggiornamenti.,Tecnico,alta
43,Nota spese da liquidare,Devo ancora presentare la nota spese della trasferta del 22 novembre. L'importo è modesto. Avrei bisogno del modulo aggiornato perché quello che ho sembra obsoleto. Il problema potrebbe avere impatti sulla operatività del reparto. Ringrazio per la collaborazione.,Amministrazione,bassa
44,Errore nell'importo della fattura #2025-0112,"Segnalo una piccola incongruenza nella fattura #ORD-1145: una voce secondaria non corrisponde al listino. L'importo totale è sostanzialmente corretto e la scadenza è lontana, ma preferisco annotarlo. La questione è legata a obblighi normativi in scadenza. Non c'è premura, il lavoro procede normalmente. Resto a disposizione per chiarimenti.",Amministrazione,bassa
45,Reclamo per merce danneggiata da lo studio Verdi,Alcuni articoli dell'ordine #ORD-1145 sono arrivati con difetti di lieve entità a il distributore regionale. Il cliente chiede la sostituzione delle parti difettose. Il rapporto è buono ma conviene rispondere presto. Stiamo valutando anche offerte alternative sul mercato. Grazie in anticipo per il riscontro.,Commerciale,media
46,Connessione al server instabile,La connessione di rete è instabile da ieri: funziona a intermittenza e la velocità è molto ridotta. Riesco a lavorare ma con continue interruzioni durante le videochiamate e il caricamento di file. I colleghi del assistenza clienti confermano lo stesso comportamento. La situazione è gestibile ma andrebbe risolta nei prossimi giorni. Vi ringrazio anticipatamente.,Tecnico,media
47,Trattativa prezzo con Rossi S.r.l.,"In considerazione del volume dell'ordine #2024-0654, il fornitore Bianchi ha chiesto condizioni più favorevoli. Sono in fase di negoziazione e un margine di sconto mi aiuterebbe a chiudere. Il reparto risorse umane ha confermato la disponibilità tecnica. Vi ringrazio anticipatamente.",Commerciale,media
48,Accesso negato al applicativo interno: reset fallito,La password del portale aziendale è scaduta. Il sistema di reset invia l'email ma il link risulta non valido. Un collega mi sta passando i dati urgenti ma non è una soluzione sostenibile. La situazione non è grave ma conviene non rimandare troppo.,Tecnico,media
49,Posta in arrivo non aggiornata,Ogni tanto qualche email su Microsoft Office arriva con qualche minuto di ritardo rispetto al telefono. Non crea problemi concreti ma volevo segnalarlo per completezza. Anche il cliente principale ci ha contattato per un disservizio simile. Ringrazio per la collaborazione.,Tecnico,bassa
50,Attesa nota di credito per #CNT-0033,"Secondo gli accordi, la nota di credito per #PED-8821 doveva arrivare entro il 12 dicembre. Non è ancora pervenuta. Non è critico nell'immediato ma la contabilità la richiede per la riconciliazione. Ringrazio per la collaborazione.",Amministrazione,media
51,Fattura #2024-1093 con importo non corretto,"La fattura #2025-0112 riporta un importo di 430,75 euro che non corrisponde a quanto concordato. La scadenza per il pagamento è fine mese e se non correggiamo prima rischiamo di pagare una cifra errata con conseguenze sul bilancio. È urgente, non possiamo procedere. Rimango in attesa, grazie.",Amministrazione,alta
52,Scadenza imminente del contratto #PED-8821,"Il contratto #2024-0871 è in scadenza tra circa un mese. Chiedo di avviare la procedura di rinnovo per evitare interruzioni del servizio. Non è imminente ma i tempi burocratici possono essere lunghi. Il problema potrebbe avere impatti sulla operatività del reparto. Il problema è fastidioso, chiedo un controllo. Cordiali saluti.",Amministrazione,media
53,Segnalazione di GreenTech S.p.A. su disservizio,"Un cliente ha menzionato di aver avuto qualche difficoltà con il nostro portale online. Non ha fatto un reclamo formale, lo riporto per conoscenza. Il reparto direzione ha confermato la disponibilità tecnica. È un dettaglio minore, da gestire quando avete un momento libero. Rimango in attesa, grazie.",Commerciale,bassa
54,Cliente non riesce a ordinare,Il portale ordini dà errore quando lo studio Verdi prova a comprare. È un'emergenza operativa.,Commerciale,alta
55,Crash di l'applicativo HR dopo l'ultimo update,Microsoft Office si chiude immediatamente dopo l'avvio con errore 'Accesso negato'. L'aggiornamento è stato installato ieri sera e da stamattina nessuno del reparto riesce ad usarlo. Abbiamo scadenze contabili che richiedono quel software oggi stesso. Anche lo studio Verdi ci ha contattato per un disservizio simile. Urgente: rischiamo gravi conseguenze.,Tecnico,alta
56,Rimborso spese trasferta del fine ottobre,"Devo ancora presentare la nota spese della trasferta del 7 gennaio. L'importo è modesto. Avrei bisogno del modulo aggiornato perché quello che ho sembra obsoleto. Quando avete modo di verificare, con calma. Grazie in anticipo per il riscontro.",Amministrazione,bassa
57,Giacenze monitor 27 pollici richieste,Sto raccogliendo informazioni per la pianificazione del prossimo trimestre. Potreste indicarmi le giacenze attuali di stampanti multifunzione? Il budget del cliente è già approvato e sono pronti a procedere. Ringrazio per la collaborazione.,Commerciale,bassa
58,Errore di calcolo nel sistema ERP,Il CRM genera importi errati nei documenti contabili e l'intero reparto marketing è bloccato nell'elaborazione dei documenti di fine mese. Serve un fix immediato al modulo di calcolo. Resto in attesa di aggiornamenti.,Tecnico,alta
59,Nota di credito per reso,"IL CLIENTE HA RESTITUITO LA MERCE, SERVE LA NOTA DI CREDITO. IL PRBLEMA È GRAVE, VA RISOLTO URGENTEMENTE.",Amministrazione,alta
60,Registrazione contabile dell'ordine #ORD-2287,"Per allineare i nostri archivi, segnalo che l'ordine #2024-0871 non ha ancora la corrispondente registrazione contabile. Non è prioritario ma conviene sistemare. La questione è legata a obblighi normativi in scadenza. Cordiali saluti.",Amministrazione,media
61,Errore busta paga settembre,"Il cedolino di giugno mostra una trattenuta anomala di 3.750,00 euro che non riconosco. L'importo netto accreditato è significativamente inferiore al dovuto e ho bisogno di chiarimenti immediati perché devo far fronte a pagamenti già programmati. il distributore regionale ha fatto presente la stessa discrepanza. Per qualsiasi chiarimento, sono disponibile.",Amministrazione,alta
62,Condizioni speciali per ordine volume,"Per le prossime trattative con GreenTech S.p.A., vorrei capire fino a che percentuale di sconto possiamo arrivare. Nessuna trattativa aperta al momento. Non è prioritario, lo segnalo solo per tenere traccia. In attesa di un vostro riscontro.",Commerciale,media
63,Ritardo nella consegna ordine #2024-0871,"Vorrei un aggiornamento sull'ordine #2024-0871 effettuato il 4 febbraio. Il cliente ha chiesto informazioni sulla data di consegna e vorrei poter dare una risposta. Rallenta il lavoro in modo significativo, anche se riesco a procedere. Grazie per l'attenzione.",Commerciale,media
64,Lentezza anomala della postazione,Ho notato un leggero calo di prestazioni del PC nelle ultime settimane. l'applicativo HR in particolare impiega qualche secondo in più per aprirsi. Per ora non è un problema ma potrebbe peggiorare. Potete contattarmi al mio interno per approfondire.,Tecnico,bassa
65,Condizioni speciali per ordine volume,"Per le prossime trattative con GreenTech S.p.A., vorrei capire fino a che percentuale di sconto possiamo arrivare. Nessuna trattativa aperta al momento. Un saluto.",Commerciale,bassa
66,Errore contabile nel gestionale,"Il gestionale calcola importi errati nei calcoli. Il prblema è grave, va risolto urgentemente.",Tecnico,alta
67,Rete aziendale non raggiungibile,"La connessione di rete è instabile da ieri: funziona a intermittenza e la velocità è molto ridotta. Riesco a lavorare ma con continue interruzioni durante le videochiamate e il caricamento di file. Il reparto acquisti ha segnalato lo stesso problema. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Vi ringrazio anticipatamente.",Tecnico,media
68,Aggiornamento dati,"I dati nel portale aziendale vanno aggiornati. Bassa priorità, non crea problemi operativi.",Amministrazione,bassa
69,Richiesta sconto per ordine #CNT-0033,"lo studio Verdi condiziona un ordine da 3.750,00 euro all'applicazione di uno sconto del 15%. La decisione deve arrivare entro entro 48 ore altrimenti il budget verrà dirottato su un concorrente. Per qualsiasi chiarimento, sono disponibile.",Commerciale,alta
70,Nota spese da liquidare,"Allego la nota spese relativa alla trasferta del mese scorso per un importo di 430,75 euro. Chiedo il rimborso secondo le tempistiche previste dalle procedure aziendali. La situazione non è grave ma conviene non rimandare troppo.",Amministrazione,media
71,Discrepanza nella fattura #ORD-2287,"La fattura #ORD-1145 riporta un importo di 155,20 euro che non corrisponde a quanto concordato. La scadenza per il pagamento è domani e se non correggiamo prima rischiamo di pagare una cifra errata con conseguenze sul bilancio. Il problema potrebbe avere impatti sulla operatività del reparto. Massima priorità, la situazione è insostenibile. Grazie in anticipo per il riscontro.",Amministrazione,alta
72,Stato dell'ordine #ORD-1145,"Per completezza del mio report, vorrei sapere lo stato attuale dell'ordine #ORD-1145. Non ci sono solleciti da parte del cliente. Non è prioritario, lo segnalo solo per tenere traccia. Resto a disposizione per chiarimenti.",Commerciale,bassa
73,Ritardo nella consegna ordine #2025-0112,"Per completezza del mio report, vorrei sapere lo stato attuale dell'ordine #2024-0654. Non ci sono solleciti da parte del cliente. La documentazione contrattuale è stata inviata al cliente. È una cosa di poco conto, da risolvere con calma. Grazie per l'attenzione.",Commerciale,media
74,Informazioni tecniche su scanner documentali per l'azienda partner,"Per completare il nostro catalogo interno, avrei bisogno delle schede tecniche aggiornate di telefoni VoIP. Non ci sono richieste attive da parte dei clienti. Ringrazio per la collaborazione.",Commerciale,bassa
75,Backup automatico non eseguito,Segnalo che il report del backup notturno di gestionale SAP mostra un avviso di tipo informativo. Il backup risulta completato ma con un tempo superiore alla media. Nessun dato sembra compromesso. Potete contattarmi al mio interno per approfondire.,Tecnico,bassa
76,Errore nel sistema di backup,"Segnalo che il report del backup notturno di sistema di ticketing mostra un avviso di tipo informativo. Il backup risulta completato ma con un tempo superiore alla media. Nessun dato sembra compromesso. I colleghi del marketing confermano lo stesso comportamento. Non è prioritario, lo segnalo solo per tenere traccia. In attesa di un vostro riscontro.",Tecnico,bassa
77,PC aziendale molto lento,"Ho notato un leggero calo di prestazioni del PC nelle ultime settimane. il gestionale in particolare impiega qualche secondo in più per aprirsi. Per ora non è un problema ma potrebbe peggiorare. Allego lo screenshot dell'errore per facilitare la diagnosi. Non è un problema grave, solo una segnalazione preventiva. Resto a disposizione per chiarimenti.",Tecnico,bassa
78,Scheda tecnica switch di rete richiesta,"Rossi S.r.l. chiede informazioni dettagliate su notebook aziendali, in particolare sulle specifiche di compatibilità. Sono in fase di valutazione e un riscontro tempestivo ci farebbe fare buona impressione. Il reparto direzione ha confermato la disponibilità tecnica. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Potete contattarmi al mio interno per approfondire.",Commerciale,media
79,Problemi di rete che impediscono il lavoro,"Da qualche giorno noto una leggera lentezza nella connessione di rete, soprattutto accedendo a software gestionale. Non crea veri problemi ma volevo segnalarlo per un controllo preventivo. Nessuna premura, è solo una segnalazione. Rimango in attesa, grazie.",Tecnico,bassa
80,Accesso negato al portale aziendale: reset fallito,"La password del applicativo interno è scaduta. Il sistema di reset invia l'email ma il link risulta non valido. Un collega mi sta passando i dati urgenti ma non è una soluzione sostenibile. Il problema è comparso dopo l'ultimo aggiornamento di sistema. La situazione è gestibile ma andrebbe risolta nei prossimi giorni. Se servono dettagli aggiuntivi, sono reperibile via email.",Tecnico,media
81,Impossibile stampare su la multifunzione del piano,"La Canon iR stampa solo parzialmente i documenti, tagliando la parte destra di ogni foglio. I contratti risultano illeggibili. Per ora invio i documenti via email ma non è sempre possibile. Vorrei una risoluzione entro la settimana se possibile. Vi ringrazio anticipatamente.",Tecnico,media
82,Aggiornamento dati,I dati nel sistema ERP vanno aggiornati.,Commerciale,media
83,Scadenza imminente del contratto #2024-0654,"Segnalo che il contratto #CNT-0033 scadrà tra qualche mese. Quando è il momento opportuno, vorrei capire se il rinnovo avverrà alle stesse condizioni o se serve rinegoziare. Allego la documentazione a supporto della richiesta. Lo segnalo per completezza, non è nulla di importante. Rimango in attesa, grazie.",Amministrazione,bassa
84,Giacenze stampanti multifunzione richieste,Sto raccogliendo informazioni per la pianificazione del prossimo trimestre. Potreste indicarmi le giacenze attuali di server rack?,Commerciale,bassa
85,Errore contabile nel gestionale,"Il gestionale calcola importi errati nei calcoli. Nessuna premura, è una richiesta informativa.",Tecnico,bassa
86,Ordine #2025-0112 senza copertura contabile,"L'ordine #2025-0112 è stato confermato al cliente ma il budget non è stato approvato dalla contabilità. Il cliente aspetta la consegna entro 15 del mese prossimo. Per qualsiasi chiarimento, sono disponibile.",Amministrazione,alta
87,Cancellazione ordine #PED-8821 su richiesta,"Per motivi interni, dobbiamo cancellare l'ordine #2024-1093 di il cliente principale. La merce non dovrebbe ancora essere spedita. Chiedo conferma dell'annullamento e informazioni sull'eventuale penale. Vorrei una risoluzione entro la settimana se possibile. Per qualsiasi chiarimento, sono disponibile.",Commerciale,media
88,Email aziendale non sincronizzata,La sincronizzazione email su SAP GUI avviene con ritardi di diverse ore. I messaggi arrivano sul telefono in tempo reale ma sul client desktop sono in ritardo. Ho provato a aggiornare il driver senza risultato. Allego lo screenshot dell'errore per facilitare la diagnosi. La situazione non è grave ma conviene non rimandare troppo. Resto in attesa di aggiornamenti.,Tecnico,media
89,Lentezza anomala della postazione,"Il PC è diventato molto lento: l'avvio richiede circa 10 minuti e passare da un'applicazione all'altra è frustrante. Riesco a lavorare ma la produttività ne risente parecchio. Il problema è fastidioso, chiedo un controllo. Resto a disposizione per chiarimenti.",Tecnico,media
90,Giacenze scanner documentali richieste,"Rossi S.r.l. vuole ordinare stampanti multifunzione con consegna entro questa settimana per un evento aziendale. Se non confermiamo la disponibilità entro oggi, si rivolgeranno altrove. L'ordine vale oltre 2.100,00 euro. È una situazione urgente e bloccante. Grazie per l'attenzione.",Commerciale,alta
91,Segnalazione di lo studio Verdi su disservizio,il fornitore Bianchi ci ha contattato per lamentare rallentamenti nell'acesso al portale ordini. Il rapporto è buono ma conviene dare un riscontro per mantenere la fiducia. Grazie in anticipo per il riscontro!!!,Commerciale,media
92,Bug nei prezzi visualizzati sul portale,"Segnalo che un paio di prodotti nel portale aziendale mostrano un prezzo leggermente diverso dal listino corrente. La differenza è minima e potrebbe essere un ritardo di aggiornamento. La situazione sta creando ritardi sugli ordini in lavorazione. Se servono dettagli aggiuntivi, sono reperibile via email.",Tecnico,bassa
93,Errore nel calcolo ferie residue sul portale,Il conteggio delle ferie residue sul CRM non corrisponde ai miei calcoli. La differenza è di qualche giorno. Chiedo una verifica con i dati del foglio presenze. Resto a disposizione per chiarimenti.,Amministrazione,media
94,Connessione al server instabile,"La connessione di rete è instabile da ieri: funziona a intermittenza e la velocità è molto ridotta. Riesco a lavorare ma con continue interruzioni durante le videochiamate e il caricamento di file. Il reparto acquisti ha segnalato lo stesso problema. Sta peggiorando, meglio intervenire presto. Ringrazio per la collaborazione.",Tecnico,media
95,Errore nel calcolo ferie residue sul portale,"Noto una piccola differenza nel conteggio ferie sul portale aziendale rispetto a quanto mi aspettavo. Nessuna premura, potrebbe anche essere un mio errore di calcolo. Chiedo verifica quando possibile. Nessuna premura, è una richiesta informativa.",Amministrazione,bassa
96,Il software gestionale non permette di generare documenti,"Segnalo che il gestionale SAP talvolta mostra un avviso durante la generazione dei documenti. Non impedisce il lavoro e il documento viene prodotto regolarmente, ma vorrei capire la causa dell'avviso. Anche Rossi S.r.l. ci ha contattato per un disservizio simile. Nessuna premura, è una richiesta informativa. Se servono dettagli aggiuntivi, sono reperibile via email.",Tecnico,media
97,SEGNALAZIONE DI IL CLIENTE PRINCIPALE SU DISSERVIZIO,"il fornitore Bianchi ha segnalato che non riesce ad accedere al portale ordini e minaccia di passare alla concorrenza. Indipendentemente dalla causa tecnica, dobbiamo dare una risposta commerciale entro oggi per salvare il rapporto. Il reparto acquisti ha confermato la disponibilità tecnica. Resto a disposizione per chiarimenti",Commerciale,media
98,Discrepanza nella fattura #PED-8821,"Segnalo una piccola incongruenza nella fattura #PED-8821: una voce secondaria non corrisponde al listino. L'importo totale è sostanzialmente corretto e la scadenza è lontana, ma preferisco annotarlo. GreenTech S.p.A. ha fatto presente la stessa discrepanza. Per qualsiasi chiarimento, sono disponibile.",Amministrazione,bassa
99,VPN aziendale non funzionante,Non riesco a connettermi tramite VPN da stamattina e lavoro esclusivamente da remoto. Ricevo 'Accesso negato' e non posso accedere a nessuna risorsa aziendale. Oggi ho una scadenza per la consegna del progetto al direzione. Cordiali saluti.,Tecnico,alta
100,Impossibile caricare ordini nel gestionale.,"Alcuni ordini non vengono caricati correttamente nel portale aziendale. Il problema è intermittente: su dieci tentativi circa tre falliscono con 'Errore 500 - Internal Server Error'. Riesco a procedere riprovando ma è poco efficiente. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Grazie in anticipo per il riscontro.",Tecnico,media
101,Segnalazione danni su consegna a il cliente principale,Alcuni articoli dell'ordine #2024-0654 sono arrivati con difetti di lieve entità a Rossi S.r.l.. Il cliente chiede la sostituzione delle parti difettose. Il rapporto è buono ma conviene rispondere presto. Vorrei una risoluzione entro la settimana se possibile. Resto in attesa di aggiornamenti.,Commerciale,media
